"","TEXT71","PSU","CASENO","STRATIF","LINENO","CASEID","VERSION"
"38","skidding clockwise, departed the roadway on the right side and struck an 18cm",2,5,"G",3,"  5G",20
"39","wide tree with the left side of the vehicle.  No injuries to report.  Vehicle 1",2,5,"G",4,"  5G",20
"40","was towed back onto the roadway and was driven away by occupant.  No air bags",2,5,"G",5,"  5G",20
"41","deployed.  The road conditions were bituminous, curved right, level, with a",2,5,"G",6,"  5G",20
"42","light layer of ice and during daylight hours.",2,5,"G",7,"  5G",20
"43","V1 traveling south in the left lane of an undivided three-lane road approaching",2,6,"H",1,"  6H",20
"44","an intersecting roadway to the left.  V2 was traveling north on a divided one",2,6,"H",2,"  6H",20
"45","lane road negotiating a right curve and approaching the same intersection as V1.",2,6,"H",3,"  6H",20
"46","The driver of V1 attempted to make a left turn at the intersection.  The front",2,6,"H",4,"  6H",20
"47","of V1 struck the left side of V2.  V1 was propelled  backwards and the back of",2,6,"H",5,"  6H",20
"48","V1 struck a guardrail off the west side of the roadway.  V1 came to rest against",2,6,"H",6,"  6H",20
"49","the guardrail.  V2 rotated counterclockwise and went off the right side of the",2,6,"H",7,"  6H",20
"50","road.  The right side of V2 struck a 7 cm wide delineator.  V2 continued and",2,6,"H",8,"  6H",20
"51","came to rest off the right side of the road.  V1 was towed due to damage.  V2",2,6,"H",9,"  6H",20
"52","was not towed.  No occupants of either vehicle were transported due to injuries.",2,6,"H",10,"  6H",20
"53","The frontal air bags in V1 deployed.    The weather was clear, the road was",2,6,"H",11,"  6H",20
"54","dry, it was dark and the road was lighted at the time of the crash.",2,6,"H",12,"  6H",20
"55","V1 was stopped facing south on an undivided two-lane road waiting for on-coming",2,7,"E",1,"  7E",20
"56","traffic to clear so as to make a left turn at an intersection.  V2 was traveling",2,7,"E",2,"  7E",20
"57","south on the same undivided two-lane road to the rear of V1 and approaching the",2,7,"E",3,"  7E",20
"58","same intersection as V1.  The front of V2 impacted the back of V1.  V2 came to",2,7,"E",4,"  7E",20
"59","rest in the roadway.  V1 was propelled forward and came to rest on the",2,7,"E",5,"  7E",20
"60","intersecting roadway.  Both vehicles were towed due to damage.  The driver of V1",2,7,"E",6,"  7E",20
"61","and the driver of V2 were transported.  The frontal air bags in V2 deployed.",2,7,"E",7,"  7E",20
"62","Vehicle 1 was traveling west entering an intersection to make a left turn.",2,8,"F",1,"  8F",20
"63","Vehicle 2 was traveling north entering the same intersection. V1's left and V2's",2,8,"F",2,"  8F",20
"64","front impacted. Frontal air bags deployed in both vehicles.  Both vehicles were",2,8,"F",3,"  8F",20
"65","towed due to disabling damage.  Occupant of Vehicle 1, transported to an area",2,8,"F",4,"  8F",20
"66","hospital for treatment.  Occupant #2 of V2 was transported to an area hospital",2,8,"F",5,"  8F",20
"67","for treatment.",2,8,"F",6,"  8F",20
"68","Vehicle 1 was traveling east on an undivided two-way, two-lane roadway.  Vehicle",2,9,"H",1,"  9H",20
"69","l was negotiating a left curve in the roadway when the vehicle lost control due",2,9,"H",2,"  9H",20
"70","to snow and ice .  Vehicle 1 started to rotate clockwise, departed roadway and",2,9,"H",3,"  9H",20
"71","did strike a rock wall and shrubbery with the front right wheel of the vehicle.",2,9,"H",4,"  9H",20
"72","Vehicle one then rolled over on to the left side. Vehicle 1 was towed due to",2,9,"H",5,"  9H",20
"73","disabling damage.  No injuries to report.",2,9,"H",6,"  9H",20
"74","Vehicle 1 was traveling west on an undivided two-lane road.  V1 went off the",2,10,"E",1," 10E",20
"75","left side of the road.  The front of V1 struck a 26 cm diameter tree.  V1 came",2,10,"E",2," 10E",20
"76","to rest off the left side of the road.  V1 was towed due to damage.  The driver",2,10,"E",3," 10E",20
"77","was transported  to a medical facility for treatment of injuries.   The weather",2,10,"E",4," 10E",20
"78","was clear, the road was dry and it was daylight at the time of the crash.  No",2,10,"E",5," 10E",20
"79","air bags deployed.",2,10,"E",6," 10E",20
"80","Vehicle 1 was traveling west on an undivided 4 lane two-way roadway coming to an",2,11,"F",1," 11F",20
"81","intersection control by a traffic light.  Vehicle 2 was traveling east on a 5",2,11,"F",2," 11F",20
"82","lane two-way roadway in the left turn lane that was also control by a traffic",2,11,"F",3," 11F",20
"83","light.  Vehicle 2 started to turn left at the intersection. The front of Vehicle",2,11,"F",4," 11F",20
"84","1 struck the right side of Vehicle 2.  No frontal air bags deployed, both",2,11,"F",5," 11F",20
"85","vehicle were towed due to disabling damage.  Occupant #3 in Vehicle 2 was",2,11,"F",6," 11F",20
"86","transported to area hospital.  Road conditions was dry, straight, and",2,11,"F",7," 11F",20
"87","bituminous.",2,11,"F",8," 11F",20
"88","Vehicle 1 was traveling south on an undivided two-lane road negotiating a right",2,12,"G",1," 12G",20
"89","curve.  A deer entered the roadway from the west side of the road.  V1 struck",2,12,"G",2," 12G",20
"90","and killed the deer.  V1 came to rest in the roadway.  V1 was towed due to",2,12,"G",3," 12G",20
"91","damage.  No occupants of V1 were transported due to injuries.    No air bags",2,12,"G",4," 12G",20
"92","deployed.",2,12,"G",5," 12G",20
"93","V1 was going west negotiating a right curve in the roadway.  V1 departed the",2,13,"D",1," 13D",20
"94","roadway on the left side impacting a 30 cm tree with the front of the vehicle.",2,13,"D",2," 13D",20
"95","Driver of vehicle was injured and transported to the hospital.  V1 was towed due",2,13,"D",3," 13D",20
"96","to damage.",2,13,"D",4," 13D",20
"97","V1 was traveling west on an undivided two-lane convenience store driveway.  V2",2,14,"F",1," 14F",20
"98","was traveling north on an undivided two-lane road negotiating a right curve and",2,14,"F",2," 14F",20
"99","approaching the driveway.  The driver of V1 attempted to make a left turn into",2,14,"F",3," 14F",20
"100","the two-lane roadway.  The left side of V1 and the front of V2 contacted.  V2",2,14,"F",4," 14F",20
"101","rotated counterclockwise and came to rest off the left side of the roadway.  V1",2,14,"F",5," 14F",20
"102","rotated slightly clockwise and continued across the two-lane roadway.  V1 went",2,14,"F",6," 14F",20
"103","off the west side of the road and the front of V1 struck a 28 cm diameter tree.",2,14,"F",7," 14F",20
"104","V1 came to rest off the roadway.  Both vehicles were towed due to damage.  The",2,14,"F",8," 14F",20
"105","driver of V1 was transported due to injuries.  No other occupants of V1 and no",2,14,"F",9," 14F",20
"106","occupants of V2 were transported.  The weather was clear, the road was dry and",2,14,"F",10," 14F",20
"107","it was daylight at the time of the crash.  The frontal air bags in V2 deployed.",2,14,"F",11," 14F",20
"108","Vehicle 1 was traveling south on an undivided two-way, two-lane roadway.",2,15,"H",1," 15H",20
"109","Vehicle 1 crossed over the left lane line, over corrected steering right and",2,15,"H",2," 15H",20
"110","departed the roadway on the right.  Vehicle 1 then started to rotate clockwise",2,15,"H",3," 15H",20
"111","and came in contact with two 12cm trees with the front of the vehicle.",2,15,"H",4," 15H",20
"112","Vehicle 1 was towed due to disabling vehicle damage.",2,15,"H",5," 15H",20
"113","Vehicle 1 was traveling north on an undivided two-lane road approaching an",2,16,"E",1," 16E",20
"114","intersection.  V2 was traveling west on the undivided two-lane intersecting",2,16,"E",2," 16E",20
"115","roadway which was controlled by a stop sign for V2.  V1 made a right turn at the",2,16,"E",3," 16E",20
"116","intersection and the front of V1 struck the front of V2.  Both vehicles were",2,16,"E",4," 16E",20
"117","towed due to damage.",2,16,"E",5," 16E",20
"118","Vehicle 1 was stopped in the center lane at a traffic signal facing north on a",2,17,"F",1," 17F",20
"119","divided three-lane roadway.  V2 was traveling north on the same three-lane",2,17,"F",2," 17F",20
"120","divided roadway in the center lane to the rear of V1.  The back of V1 was struck",2,17,"F",3," 17F",20
"121","by the front of V2.  Both vehicles came to rest in the roadway.  V1 was towed",2,17,"F",4," 17F",20
"122","due to damage.  V2 was not towed.  The driver of V1 was transported to a medical",2,17,"F",5," 17F",20
"123","facility due to injuries.  It was cloudy, the road was dry and it was daylight",2,17,"F",6," 17F",20
"124","at the time of the crash.",2,17,"F",7," 17F",20
"125","Vehicle 1 was traveling north on an undivided two-lane two-way roadway. Vehicle",2,18,"G",1," 18G",20
"126","2 was traveling east on an undivided two-lane two-way intersecting roadway,",2,18,"G",2," 18G",20
"127","slowing down for traffic when Vehicle 1 started to make a left turn to travel",2,18,"G",3," 18G",20
"128","west and struck vehicle 2 on the right front fender with the front of vehicle 1.",2,18,"G",4," 18G",20
"129","Both vehicles were towed due to disabling damage.  Air bags did not deploy.",2,18,"G",5," 18G",20
"130","No injuries to report.  Road conditions for both vehicles were dry, straight,",2,18,"G",6," 18G",20
"131","level, and bituminous and the weather was clear at the time.",2,18,"G",7," 18G",20
"132","V1 was traveling eastbound on a undivided two-lane two-way roadway.  V1 departed",2,19,"C",1," 19C",20
"133","the roadway on the left side. The front of Vehicle 1 impacted the downturned",2,19,"C",2," 19C",20
"134","end of a guardrail.  V1 mounted the guardrail and continued to travel east.  The",2,19,"C",3," 19C",20
"135","front of V1 impacted a sign post and continued to travel eastbound on the",2,19,"C",4," 19C",20
"136","guardrail causing undercarriage damage.  V1 then overturned to the left down a",2,19,"C",5," 19C",20
"137","steep embankment.  During the roll the undercarriage impacted with a tree.  V1",2,19,"C",6," 19C",20
"138","contuinued to roll and the front of the V1 impacted a two (2) additional trees.",2,19,"C",7," 19C",20
"139","The vehicle continued to roll and came to rest on its left side.  V1 was towed",2,19,"C",8," 19C",20
"140","due to damage.  The driver was transported due to injuries.",2,19,"C",9," 19C",20
"141","V1 was traveling westbound on a two-way, two-lane roadway when it departed its",2,20,"D",1," 20D",20
"142","travel lane and exited the road on the north side of travel. While off the",2,20,"D",2," 20D",20
"143","roadway, V1 sideswiped a tree with its right-side plane. V1 continued forward",2,20,"D",3," 20D",20
"144","until it struck another tree with its front-end plane. V1 came to final rest in",2,20,"D",4," 20D",20
"145","the immediate vicinity of this post secondary impact. V1 was towed from the",2,20,"D",5," 20D",20
"146","crash scene due to disabling damage. The operator of V1 was transported to a",2,20,"D",6," 20D",20
"147","local hospital via ambulance.",2,20,"D",7," 20D",20
"148","Vehicle 1 was traveling east on an undivided two-lane road negotiating a right",2,21,"F",1," 21F",20
"149","curve on a steep downgrade.  V1 went off the left side of the road.  The front",2,21,"F",2," 21F",20
"150","of V1 struck a 5 cm wide tree and then the front of V1 struck a 19 cm wide tree.",2,21,"F",3," 21F",20
"151","V1 came to rest off the left side of the road.  V1 was towed due to damage.",2,21,"F",4," 21F",20
"152","The driver was transported due to injuries.  The weather was clear, the road was",2,21,"F",5," 21F",20
"153","dry, it was dark and the road was not lighted at the time of the crash.  The",2,21,"F",6," 21F",20
"154","frontal air bags deployed.",2,21,"F",7," 21F",20
"155","Vehicle #1 was traveling north and Vehicle #2 was traveling west on an",2,22,"B",1," 22B",20
"156","intersecting roadway.  The front of vehicle #1 impacted the left side of vehicle",2,22,"B",2," 22B",20
"157","#2, which caused the left side of vehicle #2 to sideslap the right side of",2,22,"B",3," 22B",20
"158","vehicle #1.  Vehicle #1 then departed the roadway impacting a 65cm tree with the",2,22,"B",4," 22B",20
"159","front of the vehicle.  Vehicle #2 rotated clockwise and departed the roadway on",2,22,"B",5," 22B",20
"160","the northwest corner and rolled over onto its left side with the top of the",2,22,"B",6," 22B",20
"161","vehicle impacting a 34cm pole.  Both vehicles were towed due to disabling",2,22,"B",7," 22B",20
"162","vehicle damage. Driver of vehicle #1 transported to area hospital.  Driver of",2,22,"B",8," 22B",20
"163","vehicle #2 expired at scene. Frontal air bags deployed in both vehicles.",2,22,"B",9," 22B",20
"164","Vehicle 1 was traveling south on an undivided two-lane road negotiating a left",2,23,"D",1," 23D",20
"165","curve.  V1 went off the right side of the road.  The front of V1 struck a 20 cm",2,23,"D",2," 23D",20
"166","wide concrete post.  V1 continued to travel off the right side of the road and",2,23,"D",3," 23D",20
"167","the front of V1 swiped a 55 cm diameter tree.  V1 continued off the right side",2,23,"D",4," 23D",20
"168","of the road and the front of V1 struck a chain link fence, a 2 cm diameter metal",2,23,"D",5," 23D",20
"169","post and then a 1.3 meter diameter tree.  V1 came to rest off the right side of",2,23,"D",6," 23D",20
"170","the road.  V1 was towed due to damage.  The driver was transported due to",2,23,"D",7," 23D",20
"171","injuries.  It was cloudy, the road was dry, it was dark and the road was not",2,23,"D",8," 23D",20
"172","lighted at the time of the crash.  Both frontal air bags deployed.",2,23,"D",9," 23D",20
"173","Vehicle 1 was traveling north on an undivided two-lane road negotiating a right",2,24,"F",1," 24F",20
"174","curve on an upgrade.  V1 went off the right side of the road.  The vehicle",2,24,"F",2," 24F",20
"175","climbed a snow-embankment and overturned coming to rest on its roof.  V1 was",2,24,"F",3," 24F",20
"176","towed due to damage.  The driver was transported to a medical facility due to",2,24,"F",4," 24F",20
"177","injuries.  It was cloudy, the road was dry, and it was daylight at the time of",2,24,"F",5," 24F",20
"178","the crash.  No air bags deployed.",2,24,"F",6," 24F",20
"179","Vehicle 1 was traveling south on an undivided two-lane road negotiating a slight",2,25,"D",1," 25D",20
"180","right curve.  A deer ran into the roadway from the right side of the road.  V1",2,25,"D",2," 25D",20
"181","went off the left side of the road.  The front of V1 struck a 29 cm diameter",2,25,"D",3," 25D",20
"182","utility pole and came to rest off the left side of the road.  V1 was towed due",2,25,"D",4," 25D",20
"183","to damage.  The driver was transported to a medical facility due to injuries. It",2,25,"D",5," 25D",20
"184","was raining, the road was wet, it was dark and the road was lighted at the time",2,25,"D",6," 25D",20
"185","of the crash.  Both frontal air bags deployed.",2,25,"D",7," 25D",20
"186","V1 was traveling north when it departed the roadway on the right side and",2,26,"F",1," 26F",20
"187","impacted a guardrail.  V1 then rolled over on its right side one-quarter turn",2,26,"F",2," 26F",20
"188","before coming to final rest.  V1 was towed due to disabling damage.  The",2,26,"F",3," 26F",20
"189","occupant was transported to an area hospital via ambulance.",2,26,"F",4," 26F",20
"190","Vehicle #1 was traveling east on a two lane two way rural roadway, and lost",2,27,"H",1," 27H",20
"191","control due to ice and snow.  Vehicle #1 started to rotate clockwise departed",2,27,"H",2," 27H",20
"192","roadway and impacted the south guardrail with the front of the vehicle.  Vehicle",2,27,"H",3," 27H",20
"193","#1 was towed due to disabling vehicle damage.  No injuries to report.",2,27,"H",4," 27H",20
"194","Vehicle's air bags did not deploy.",2,27,"H",5," 27H",20
"195","Vehicle 1 was traveling north on an undivided two-lane road.  V2 traveling north",2,28,"E",1," 28E",20
"196","on the same undivided two-lane road ahead of V1.  V2 stopped for a bus in the",2,28,"E",2," 28E",20
"197","roadway. The back of V2 was contacted by the front of V1.  V2 was towed due to",2,28,"E",3," 28E",20
"198","damage.  The driver of V2 was transported due to injuries. The weather was",2,28,"E",4," 28E",20
"199","clear, the road was dry and it was daylight at the time of the crash.   No air",2,28,"E",5," 28E",20
"200","bags deployed.",2,28,"E",6," 28E",20
"201","Vehicle 1 was traveling west on an undivided two-lane road approaching and",2,29,"G",1," 29G",20
"202","intersection controlled by a stop sign.  V2 was traveling north on the",2,29,"G",2," 29G",20
"203","intersecting undivided two-lane road approaching the same intersection as V1.",2,29,"G",3," 29G",20
"204","The driver of V1 attempted to make a right turn at the intersection.  The right",2,29,"G",4," 29G",20
"205","side of V2 was struck by the front of V1.  V2 came to rest off the left side of",2,29,"G",5," 29G",20
"206","the road.  V1 came to rest in the intersection.  V2 was towed due to damage.  No",2,29,"G",6," 29G",20
"207","occupants of either vehicle were transported due to injuries.  It was raining,",2,29,"G",7," 29G",20
"208","the road was wet, it was dark and the road was not lighted at the time of the",2,29,"G",8," 29G",20
"209","crash.  No air bags in either vehicle deployed.",2,29,"G",9," 29G",20
"210","Vehicle #1 and Vehicle #3 stopped at traffic light while traveling east.",2,30,"G",1," 30G",20
"211","Vehicle #2 was traveling east and impacted the back of Vehicle #1 with the front",2,30,"G",2," 30G",20
"212","of Vehicle #2.  Vehicle #1 then impacted the back of Vehicle #3 with the front",2,30,"G",3," 30G",20
"213","of Vehicle #1.  Vehicle #2 frontal air bags deployed.  Vehicles #1 and 2 were",2,30,"G",4," 30G",20
"214","towed due to disabling vehicle damage.  Vehicle #3 was a non-tow.  No injuries",2,30,"G",5," 30G",20
"215","to report.",2,30,"G",6," 30G",20
"216","Vehicle #1 was traveling westbound departed the roadway on the right side",2,31,"K",1," 31K",20
"217","impacting a 10cm tree with its right front.  Vehicle #1 then entered back onto",2,31,"K",2," 31K",20
"218","the roadway traveling west crossing over the roadway and departing the roadway",2,31,"K",3," 31K",20
"219","on the left side impacting a snow bank causing the vehicle to rollover onto its",2,31,"K",4," 31K",20
"220","right side then continued to rollover for 60 meters and coming to final rest on",2,31,"K",5," 31K",20
"221","it's roof on the eastbound shoulder.  Driver of vehicle not injured.  Occupant",2,31,"K",6," 31K",20
"222","#2 was fully ejected from the vehicle and was transported to area hospital.",2,31,"K",7," 31K",20
"223","Vehicle #1 was towed and destroyed.",2,31,"K",8," 31K",20
"224","Vehicle 1 was traveling west on an undivided two-lane road negotiating a left",2,32,"K",1," 32K",20
"225","curve and approaching an intersecting roadway to the right.  Vehicle 2 was",2,32,"K",2," 32K",20
"226","traveling south on the intersecting roadway negotiating a right curve on a",2,32,"K",3," 32K",20
"227","downgrade.  The intersection was controlled by a stop sign for V2.  The driver",2,32,"K",4," 32K",20
"228","of V2 attempted to make a left turn at the intersection.  As both vehicles",2,32,"K",5," 32K",20
"229","crossed paths the left side of V2 was contacted by the front of V1.  Both",2,32,"K",6," 32K",20
"230","vehicles rotated counter-clockwise.  V1 came to rest facing east in the roadway.",2,32,"K",7," 32K",20
"231","V2 continued to rotate and went off the south side of the roadway.  The front",2,32,"K",8," 32K",20
"232","of V2 struck a shallow drainage ditch and the vehicle came to rest off the",2,32,"K",9," 32K",20
"233","roadway facing westward.",2,32,"K",10," 32K",20
"234","V1 was making a left turn at a three-way intersection, in order to travel north,",2,33,"D",1," 33D",20
"235","and struck the east side curb with its right front wheel. During this initial",2,33,"D",2," 33D",20
"236","impact V1 left the roadway and struck a large rock with its undercarriage and",2,33,"D",3," 33D",20
"237","rolled over two-quarter turns. V1 came to final rest on the roadway, in its",2,33,"D",4," 33D",20
"238","original travel, lane facing northbound.",2,33,"D",5," 33D",20
"239","While V1 was traveling northbound it crossed left of center and rotated",2,34,"B",1," 34B",20
"240","clockwise as it entered on-coming traffic. During this occurrence V2 and V3 were",2,34,"B",2," 34B",20
"241","traveling southbound on the same roadway directly in front of V1. As V1 and V2",2,34,"B",3," 34B",20
"242","crossed paths the right side-plane of V2 contacted the front end-plane of V2.",2,34,"B",4," 34B",20
"243","During this initial impact V3 veered to the left and crossed left of center. V2",2,34,"B",5," 34B",20
"244","began to rotate clockwise after initial contact and also traveled left of",2,34,"B",6," 34B",20
"245","center. As V2 and V3 crossed paths the front end-plane of V2 contacted the right",2,34,"B",7," 34B",20
"246","side-plane of V3. V1 rotated clockwise after initial contact with V2 and",2,34,"B",8," 34B",20
"247","departed the roadway on the west side of travel where V1 traveled up an",2,34,"B",9," 34B",20
"248","embankment, backwards, until arriving a final rest.",2,34,"B",10," 34B",20
"249","Vehicle 1 was traveling westbound on an undivided two-lane road negotiating a",2,35,"C",1," 35C",20
"250","sharp left curve on a downgrade slope.  V1 went off the right side of the road.",2,35,"C",2," 35C",20
"251","The right front wheel struck a large rock.  The vehicle continued and came back",2,35,"C",3," 35C",20
"252","across the roadway.  V1 then went off the left side of the road and the front",2,35,"C",4," 35C",20
"253","of the vehicle struck a drainage ditch.  V1 came to rest off the left side of",2,35,"C",5," 35C",20
"254","the road.  V1 was towed due to disabling damage.  The driver was transported to",2,35,"C",6," 35C",20
"255","a medical facility via ambulance.  It was snowing, the road was snow/ice covered",2,35,"C",7," 35C",20
"256","and it was daylight at the time of the crash. The frontal air bags and the",2,35,"C",8," 35C",20
"257","driver knee bag deployed.",2,35,"C",9," 35C",20
"258","Vehicle 1 was traveling south on an undivided two-lane road negotiating a left",2,36,"H",1," 36H",20
"259","curve on an upgrade.  V1 went off the right side of the road.  The vehicle",2,36,"H",2," 36H",20
"260","rotated counterclockwise and the right side of the vehicle swiped a 70 cm",2,36,"H",3," 36H",20
"261","diameter tree.  V1 came back across the roadway and went off the left side of",2,36,"H",4," 36H",20
"262","the road where the vehicle came to rest. V1 was towed due to damage.  No",2,36,"H",5," 36H",20
"263","occupants of the vehicle were transported due to injuries. The weather was",2,36,"H",6," 36H",20
"264","clear, the road was slush covered and it was dawn at the time of the crash. The",2,36,"H",7," 36H",20
"265","frontal air bags deployed.",2,36,"H",8," 36H",20
"266","As V1 was traveling northbound, while negotiating a left curve, it started to",2,37,"C",1," 37C",20
"267","rotate counter clockwise.  V1 departed the east side of the roadway and",2,37,"C",2," 37C",20
"268","contacted a metal guardrail. This impact caused V1 to rollover towards the",2,37,"C",3," 37C",20
"269","roadway. V1 came to final rest on its roof in the original travel lane. V1 was",2,37,"C",4," 37C",20
"270","towed due to disabling damage.",2,37,"C",5," 37C",20
"271","Vehicle #1 was traveling east crossed over the left lane line into the westbound",2,38,"D",1," 38D",20
"272","lane, departed the roadway and impacted the north guardrail with the front of",2,38,"D",2," 38D",20
"273","the vehicle.  Vehicle #1 then rotated counter clockwise and impacted the north",2,38,"D",3," 38D",20
"274","guardrail with the right side of the vehicle.  Vehicle #1's air bags did not",2,38,"D",4," 38D",20
"275","deploy.  Occupant of vehicle transported to area hospital.  Vehicle #1 was towed",2,38,"D",5," 38D",20
"276","due to disabling vehicle damage.",2,38,"D",6," 38D",20
"277","Vehicle 1 was traveling south on a five-lane undivided roadway in the second",2,39,"G",1," 39G",20
"278","lane from the right.  Vehicle 2 was traveling south on the same undivided",2,39,"G",2," 39G",20
"279","five-lane roadway in the right lane. V2 approached some vehicles, which were",2,39,"G",3," 39G",20
"280","decelerating in that lane.  V2 changed lanes to the right lane as the traffic in",2,39,"G",4," 39G",20
"281","that lane also started to decelerate.  The back of V2 was impacted by the front",2,39,"G",5," 39G",20
"282","of V1.  Both vehicles came to rest in the roadway.  V1 was towed due to damage.",2,39,"G",6," 39G",20
"283","No occupants of either vehicle were transported. No air bags deployed in V1.",2,39,"G",7," 39G",20
"284","Vehicle 1 was traveling west on an undivided two-lane road negotiating a left",2,40,"B",1," 40B",20
"285","curve.  V1 went off the right side of the road.  The front of the vehicle struck",2,40,"B",2," 40B",20
"286","a post and wire type guardrail. V1 started to rotate clockwise.  The left side",2,40,"B",3," 40B",20
"287","of the vehicle struck another post and cable type guardrail and the vehicle",2,40,"B",4," 40B",20
"288","mounted the guardrail.  The vehicle continued to travel along the guardrail in a",2,40,"B",5," 40B",20
"289","westerly direction.  The left side of the vehicle struck a 4 cm wide wooden",2,40,"B",6," 40B",20
"290","signpost. The vehicle continued to travel westerly and overturned.  The vehicle",2,40,"B",7," 40B",20
"291","came to rest at the bottom of a ditch-line facing east on its roof.  The driver",2,40,"B",8," 40B",20
"292","was ejected.  V1 was towed due to disabling damage.  The driver of V1 expired at",2,40,"B",9," 40B",20
"293","the scene.  The weather was clear, the road was dry, it was dark and the road",2,40,"B",10," 40B",20
"294","was lighted at the time of this crash.",2,40,"B",11," 40B",20
"295","Vehicle #1 was headed north, stopped in the roadway to make a left turn.",2,41,"E",1," 41E",20
"296","Vehicle #2 was traveling north on the same roadway and impacted the rear of",2,41,"E",2," 41E",20
"297","Vehicle #1.  Vehicle #3 was traveling south on the same roadway when Vehicle #1",2,41,"E",3," 41E",20
"298","crossed over the double yellow line and impacted the front of Vehicle #3 with",2,41,"E",4," 41E",20
"299","the front. The 3 vehicles were towed due to disabling vehicle damage.  No air",2,41,"E",5," 41E",20
"300","bags deployed in any of the vehicles.  Vehicle #1 occupant #1 was transported to",2,41,"E",6," 41E",20
"301","the hospital.",2,41,"E",7," 41E",20
"302","Vehicle 1 was traveling westbound on an undivided two-lane road negotiating a",2,42,"H",1," 42H",20
"303","left curve. Due to icy roadway conditions V1 left the north side of the road.",2,42,"H",2," 42H",20
"304","The front of V1 struck an 8 cm wide signpost, which fell and shattered V1's",2,42,"H",3," 42H",20
"305","windshield. V1 continued forward until its front/undercarriage struck the ground",2,42,"H",4," 42H",20
"306","on the far side of a shallow ditch line. V1 was towed due to disabling damage.",2,42,"H",5," 42H",20
"307","The weather was sleet/hail, the road was snow/ice covered and it was daylight at",2,42,"H",6," 42H",20
"308","the time of the crash.",2,42,"H",7," 42H",20
"309","Vehicle 1 was traveling south on an undivided two-lane road negotiating a slight",2,43,"F",1," 43F",20
"310","left curve.  V1 went off the right side of the road.  The front of V1 struck a",2,43,"F",2," 43F",20
