"","TEXT71","PSU","CASENO","STRATIF","LINENO","CASEID","VERSION"
"51","Vehicle 1 was traveling west on an undivided two-lane road negotiating a right",2,12,"H",1," 12H",20
"52","curve on an upgrade.  The vehicle started to slide and the driver overcorrected.",2,12,"H",2," 12H",20
"53","The vehicle went off the right side of the road.  The front of V1 struck a 21",2,12,"H",3," 12H",20
"54","cm diameter tree, uprooting the tree.  The vehicle then overturned to the right.",2,12,"H",4," 12H",20
"55","During the roll, the right side of the vehicle struck a clump of small trees.",2,12,"H",5," 12H",20
"56","The vehicle continued to overturn and the right side of the vehicle swiped a 23",2,12,"H",6," 12H",20
"57","cm diameter tree.  The vehicle came to rest off the right side of the road",2,12,"H",7," 12H",20
"58","leaning against the clump of trees and the 23 cm diameter tree.  It was raining,",2,12,"H",8," 12H",20
"59","the road was snow/ice covered, and it was daylight at the time of the crash.",2,12,"H",9," 12H",20
"60","The frontal air bags deployed.",2,12,"H",10," 12H",20
"61","V1 was traveling west.  A deer entered the roadway and V1 steered right to avoid",2,13,"D",1," 13D",20
"62","same.  V1 went off the right side of the road into a parking area and struck a",2,13,"D",2," 13D",20
"63","large cement block with its front.  V1 rotated counterclockwise and came to",2,13,"D",3," 13D",20
"64","rest.",2,13,"D",4," 13D",20
"65","Vehicle 1 was traveling north on an undivided four-lane road negotiating a left",2,14,"F",1," 14F",20
"66","curve in the left lane.  V2 was traveling north on the same road negotiating the",2,14,"F",2," 14F",20
"67","right curve in the right lane. V1 rotated counterclockwise and the right side",2,14,"F",3," 14F",20
"68","of V1 and the front of V2 impacted.",2,14,"F",4," 14F",20
"69","V1 was traveling southeasterly on a two-lane roadway that curved to the right.",2,15,"G",1," 15G",20
"70","V1 decelerated and swerved to the right to avoid a deer in the roadway. V1",2,15,"G",2," 15G",20
"71","departed the right side of the roadway and contacted a 34 cm diameter tree with",2,15,"G",3," 15G",20
"72","its front end-plane.",2,15,"G",4," 15G",20
"73","Vehicle #1 was traveling west on an undivided two-lane, two-way roadway which",2,16,"H",1," 16H",20
"74","was covered with ice and snow.  Vehicle #1 lost traction and departed the",2,16,"H",2," 16H",20
"75","roadway on the right side and impacted a tree with the frontal end plane.",2,16,"H",3," 16H",20
"76","Vehicle towed due to front axle damage.",2,16,"H",4," 16H",20
"77","V1 was traveling east.  V1 went off the right side of the roadway and began to",2,17,"D",1," 17D",20
"78","rotate clockwise.  V1 continued to rotate and struck a 52 cm diameter tree with",2,17,"D",2," 17D",20
"79","its left side.  V1 rotated counterclockwise and came to rest facing in a",2,17,"D",3," 17D",20
"80","southeasterly direction.  It was snowing, the roadway snow/ice covered and it",2,17,"D",4," 17D",20
"81","was dark at the time of the crash.  V1 was towed due to damage.  Operator V1 was",2,17,"D",5," 17D",20
"82","transported, treated and hospitalized due to injuries.",2,17,"D",6," 17D",20
"83","Vehicle 1 was traveling south on an undivided two-lane road negotiating a slight",2,18,"E",1," 18E",20
"84","right curve.  V1 started to rotate and went off the right side of the road.",2,18,"E",2," 18E",20
"85","The vehicle dropped off the edge of the pavement and the front of the vehicle",2,18,"E",3," 18E",20
"86","struck a mound of earth.  The vehicle deflected to the right slightly and the",2,18,"E",4," 18E",20
"87","left side of the vehicle struck a 28 by 31 cm diameter tree.  V1 came to rest",2,18,"E",5," 18E",20
"88","off the right side of the road.",2,18,"E",6," 18E",20
"89","Vehicle 1, a school bus, was traveling north on an undivided two- lane road",2,19,"F",1," 19F",20
"90","approaching a four-legged intersection. V2 was traveling east on the undivided",2,19,"F",2," 19F",20
"91","two-lane road, negotiating a left curve on an upgrade.  The front of V1",2,19,"F",3," 19F",20
"92","contacted the right side of V2. V2 was rotated clockwise and the left side of V2",2,19,"F",4," 19F",20
"93","struck a small embankment on the northeast corner of the intersection. V2",2,19,"F",5," 19F",20
"94","continued back into the roadway and came to final rest.",2,19,"F",6," 19F",20
"95","V1 was traveling west.  V2 traveling south. V1 was struck on the right side by",2,20,"F",1," 20F",20
"96","the front of V2.  V1 was rotated clockwise off the southwest corner of the",2,20,"F",2," 20F",20
"97","intersection, struck a sign post with its right side and came to rest facing in",2,20,"F",3," 20F",20
"98","a southeasterly direction.  V2 continued off the side of the road and came to",2,20,"F",4," 20F",20
"99","rest facing south.  It was snowing, the roadway snow/ice covered and it was dusk",2,20,"F",5," 20F",20
"100","at the time of the crash.",2,20,"F",6," 20F",20
"101","Vehicle #1 was traveling south on an undivided two-way, two-lane roadway.",2,21,"H",1," 21H",20
"102","Vehicle #1 started to rotate counterclockwise due to snow and ice on the roadway",2,21,"H",2," 21H",20
"103",".  Vehicle #1 then departed the roadway on the right side and impacted a 34cm",2,21,"H",3," 21H",20
"104","pole with the right side plane.",2,21,"H",4," 21H",20
"105","V1 was traveling south on a level two lane undivided roadway negotiating a curve",2,22,"D",1," 22D",20
"106","to the left.  V1 drove off the right side of the roadway and struck two 4 x 4",2,22,"D",2," 22D",20
"107","mailbox posts with its front end-plane.  A broken section of post flew up and",2,22,"D",3," 22D",20
"108","struck the roof.  V1 continued and struck the mailbox post with its right side.",2,22,"D",4," 22D",20
"109","V1 continued off the road, struck a 32 cm tree with its front and came to rest",2,22,"D",5," 22D",20
"110","facing south.",2,22,"D",6," 22D",20
"111","Vehicle 1 was traveling north on a snow and ice covered roadway negotiating a",2,23,"G",1," 23G",20
"112","left curve on a downgrade.  V1 rotated clockwise and the vehicle went off the",2,23,"G",2," 23G",20
"113","right side of the road.  The left side of V1 struck a 33 cm diameter utility",2,23,"G",3," 23G",20
"114","pole.  The vehicle continued to rotate clockwise and came to rest partially in",2,23,"G",4," 23G",20
"115","the roadway.",2,23,"G",5," 23G",20
"116","Vehicle 1 was traveling east on an undivided two-lane road.  A deer entered the",2,24,"J",1," 24J",20
"117","roadway.  V1 went off the left side of the road.  The vehicle climbed an",2,24,"J",2," 24J",20
"118","embankment and continued off the left side of the road.  The vehicle crossed an",2,24,"J",3," 24J",20
"119","intersecting roadway and continued to travel east.  The vehicle went into a",2,24,"J",4," 24J",20
"120","wooded area and the front of the vehicle struck a 17 cm diameter tree.  The tree",2,24,"J",5," 24J",20
"121","was uprooted and pushed eastward.  The front of V1 then struck a 9 cm diameter",2,24,"J",6," 24J",20
"122","tree. The vehicle continued east rotated counterclockwise slightly and the",2,24,"J",7," 24J",20
"123","undercarriage struck an embankment.  The vehicle went up the embankment a short",2,24,"J",8," 24J",20
"124","distance and the front of the vehicle struck an 8 cm diameter tree.  The vehicle",2,24,"J",9," 24J",20
"125","started to overturn. During the roll, the right side of the vehicle struck an",2,24,"J",10," 24J",20
"126","11 cm diameter tree.  V1 continued to roll and then struck an 11 cm diameter",2,24,"J",11," 24J",20
"127","tree with the undercarriage and came to rest off the left side of the road on it",2,24,"J",12," 24J",20
"128","wheels.",2,24,"J",13," 24J",20
"129","V1 traveling south on a level two lane undivided roadway approaching a four-leg",2,25,"C",1," 25C",20
"130","intersection.  V2 traveling north on the same roadway approaching the same",2,25,"C",2," 25C",20
"131","intersection.  V1 enters the intersection to turn left.  V1 strikes the front of",2,25,"C",3," 25C",20
"132","V2 with its front.  V1 rotates clockwise off the northeasterly corner of the",2,25,"C",4," 25C",20
"133","intersection and strikes a sign post with it back and comes to rest facing",2,25,"C",5," 25C",20
"134","south.  V2 continues a short distance and comes to rest facing in a northerly",2,25,"C",6," 25C",20
"135","direciton.",2,25,"C",7," 25C",20
"136","Vehicle 1 was traveling south on an undivided two-lane road negotiating a left",2,26,"K",1," 26K",20
"137","curve and approaching an intersection controlled by a stop sign for V1.  Vehicle",2,26,"K",2," 26K",20
"138","2 was traveling west on an undivided two-lane road negotiating a left curve and",2,26,"K",3," 26K",20
"139","approaching the same intersection as V1.  V1 attempted to turn left at the",2,26,"K",4," 26K",20
"140","intersection.  The front of V2 contacted the front of V1.  V1 rotated",2,26,"K",5," 26K",20
"141","counterclockwise slightly and the right side of V2 was struck by the front of",2,26,"K",6," 26K",20
"142","V1.  Both vehicles came to rest in the roadway and were towed due to damage.",2,26,"K",7," 26K",20
"143","The right front seat passenger in V2 was air lifted to a trauma center due to",2,26,"K",8," 26K",20
"144","injuries.  The weather was clear, the road was dry and it was daylight at the",2,26,"K",9," 26K",20
"145","time of the crash.",2,26,"K",10," 26K",20
"146","V1 was traveling south on a two lane undivided roadway.  V1 went off the right",2,27,"D",1," 27D",20
"147","side of the roadway and struck a 4 x 4 mailbox post with its front.  The post",2,27,"D",2," 27D",20
"148","snapped and struck the hood of V1.  V1 continued off the roadway and struck a",2,27,"D",3," 27D",20
"149","small bush with its front.  V1 then struck a 20 cm diameter pole with its front,",2,27,"D",4," 27D",20
"150","snapped same and the top portion of the pole struck the hood of V1.  V1",2,27,"D",5," 27D",20
"151","continued, went off a small embankment and struck a drainage grate with its",2,27,"D",6," 27D",20
"152","right rear tire coming to rest facing south on an intersecting roadway.",2,27,"D",7," 27D",20
"153","Vehicle 1 and vehicle 2 were traveling north on an undivided two-lane road",2,28,"F",1," 28F",20
"154","negotiating a slight right curve with V2 in front of V1.  V2 slowed to make a",2,28,"F",2," 28F",20
"155","right turn at a driveway. The back of V2 was impacted by the front of V1.  V2",2,28,"F",3," 28F",20
"156","rotated clockwise and traveled off the northeast corner of the intersecting",2,28,"F",4," 28F",20
"157","driveway.  The left front tire on V2 struck a curb on the northeast corner of",2,28,"F",5," 28F",20
"158","the intersecting driveway and the vehicle continued to travel off the right side",2,28,"F",6," 28F",20
"159","of the road.  The front of V2 then struck a snow bank.  V2 continued to travel",2,28,"F",7," 28F",20
"160","off the right side of the road and the front of V2 swiped the left side of V3, a",2,28,"F",8," 28F",20
"161","vehicle parked in a parking lot facing west.",2,28,"F",9," 28F",20
"162","V1 was traveling north negotiating a curve to the left.  Two deer enter the",2,29,"H",1," 29H",20
"163","roadway.  Operator V1 brakes and steers right to avoid a collision.  V1",2,29,"H",2," 29H",20
"164","continues off the right side of the road striking a snow embankment with its",2,29,"H",3," 29H",20
"165","front.  V1 continues down an embankment striking rocks with its undercarriage.",2,29,"H",4," 29H",20
"166","V1 strikes a tree with its left side and comes to rest facing in a northeasterly",2,29,"H",5," 29H",20
"167","direction.",2,29,"H",6," 29H",20
"168","Vehicle 1 was traveling north on an undivided two-lane road negotiating a left",2,30,"K",1," 30K",20
"169","curve on a downgrade.  Vehicle 2 (a medium-heavy truck) was traveling south on",2,30,"K",2," 30K",20
"170","the same undivided two-lane road negotiating a right curve on an upgrade.  V1",2,30,"K",3," 30K",20
"171","crossed into the southbound lanes.  V2 moved to the right.  The front of V2 was",2,30,"K",4," 30K",20
"172","struck by the front of V1.  V1 rotated counterclockwise and came to rest in the",2,30,"K",5," 30K",20
"173","roadway facing southeast.  V2 continued to travel south and the front of V2",2,30,"K",6," 30K",20
"174","struck a rural mailbox.  V2 came to rest off the right side of the road.  Both",2,30,"K",7," 30K",20
"175","vehicles were towed due to damage.  The driver of V1 was transported to a trauma",2,30,"K",8," 30K",20
"176","center where he was hospitalized.",2,30,"K",9," 30K",20
"177","V1 and V2 were traveling west on a level two lane undivided roadway.  V1 was",2,31,"D",1," 31D",20
"178","behind V2.  V1's front and V2's back impacted. V2 went off the left side of the",2,31,"D",2," 31D",20
"179","roadway and rolled over 4 quarter turns.  V1 continued off the left side of the",2,31,"D",3," 31D",20
"180","roadway, up a small embankment and struck a 28 cm tree and a 33 cm tree with its",2,31,"D",4," 31D",20
"181","front, rotated slightly counterclockwise and came to rest facing in a",2,31,"D",5," 31D",20
"182","southwesterly direction.",2,31,"D",6," 31D",20
"183","Vehicle 1 was traveling west on an undivided two-lane road negotiating a sharp",2,32,"F",1," 32F",20
"184","left curve.  V1 went off the right side of the road.  The front of the vehicle",2,32,"F",2," 32F",20
"185","struck a stone wall.  V1 rotated clockwise and continued across a driveway.  The",2,32,"F",3," 32F",20
"186","left side of the vehicle then struck the corner of a stone and concrete wall.",2,32,"F",4," 32F",20
"187","The vehicle continued to rotate clockwise and the left side struck the wall a",2,32,"F",5," 32F",20
"188","second time.  The vehicle came to rest off the right side of the road facing",2,32,"F",6," 32F",20
"189","southeast.  V1 was towed due to damage.  The driver was transported due to",2,32,"F",7," 32F",20
"190","injuries.  The weather was clear, the road was wet and sand covered and it was",2,32,"F",8," 32F",20
"191","daylight at the time of the crash.  No air bags deployed.",2,32,"F",9," 32F",20
"192","V1 was traveling west on a level two lane undivided roadway negotiating a curve",2,33,"F",1," 33F",20
"193","to the right.  V1 went off the left side of the roadway and struck a 4 cm",2,33,"F",2," 33F",20
"194","sapling, a 20 cm tree and then a 30 cm diameter tree with its front.  V1 rotated",2,33,"F",3," 33F",20
"195","counterclockwise back onto the roadway and came to rest facing in a westerly",2,33,"F",4," 33F",20
"196","direction on the roadway.",2,33,"F",5," 33F",20
"197","Vehicle 1 was traveling east.  V2 was stopped in traffic facing east on the same",2,34,"F",1," 34F",20
"198","road, ahead of V1, waiting to turn left at an intersection.  The front of V1",2,34,"F",2," 34F",20
"199","contacted the back of V2.  V2 was propelled forward and to the right and came to",2,34,"F",3," 34F",20
"200","rest at the right edge of the roadway.  V1 rotated counterclockwise and came to",2,34,"F",4," 34F",20
"201","rest partially in the westbound lane.  V3 was traveling west.  V3 observed V1",2,34,"F",5," 34F",20
"202","crossing into his lane and swerved to the right.  Debris from the impact of V1",2,34,"F",6," 34F",20
"203","and V2 struck V3 on the left side.",2,34,"F",7," 34F",20
"204","V1 traveling west on a level two lane undivided roadway negotiating a curve to",2,35,"H",1," 35H",20
"205","the right.  V1 went off the left side of the roadway and began to rotate",2,35,"H",2," 35H",20
"206","slightly clockwise.  V1 struck a 20 cm tree with its front and then a 28 cm",2,35,"H",3," 35H",20
"207","diameter pole with its left side.  V1 then struck the uprooted tree roots with",2,35,"H",4," 35H",20
"208","its front.  V1 rotated counterclockwise and came to rest facing in a easterly",2,35,"H",5," 35H",20
"209","direction.",2,35,"H",6," 35H",20
"210","Vehicle 1 was traveling north on an undivided two-lane road negotiating a right",2,36,"K",1," 36K",20
"211","curve on an upgrade.  V2 was traveling south on the same undivided two-lane road",2,36,"K",2," 36K",20
"212","negotiating a left curve on a downgrade.  V1 moved to the left and entered the",2,36,"K",3," 36K",20
"213","northbound lane.  The front of V1 struck the left side of V2. V1 was rotated",2,36,"K",4," 36K",20
"214","counterclockwise and came to rest in the roadway facing southwest. V2 came to",2,36,"K",5," 36K",20
"215","rest in the roadway.",2,36,"K",6," 36K",20
"216","Vehicle 1 was traveling north on an undivided two-lane road negotiating a right",2,37,"F",1," 37F",20
"217","curve and approaching an intersection.  V1 went off the right side of the road,",2,37,"F",2," 37F",20
"218","rotated counterclockwise slightly and the right side of the vehicle swiped a 5",2,37,"F",3," 37F",20
"219","cm diameter tree.  The vehicle continued off the right side of the road and the",2,37,"F",4," 37F",20
"220","front of the vehicle struck a 200 cm high wooden stockade fence.  The vehicle",2,37,"F",5," 37F",20
"221","went through the fence and the front of the vehicle struck a 19 cm diameter",2,37,"F",6," 37F",20
"222","tree.  V1 came to rest off the right side of the road.  V1 was towed due to",2,37,"F",7," 37F",20
"223","damage.  The driver was transported due to injuries.  The weather was clear, the",2,37,"F",8," 37F",20
"224","road was dry, it was dark and the road was lighted at the time of the crash.",2,37,"F",9," 37F",20
"225","V1 and V2 traveling on a level two lane undivided roadway.  V2 was behind V1.",2,38,"H",1," 38H",20
"226","V1 stops behind an uninvolved vehicle and is struck in the rear by the front of",2,38,"H",2," 38H",20
"227","V2.  It was cloudy, the roadway dry and it was daylight at the time of the",2,38,"H",3," 38H",20
"228","crash.  V2 was towed due to damage.  There were no reported injuries.",2,38,"H",4," 38H",20
"229","Vehicle 1 was traveling south on an undivided two-lane road negotiating a sharp",2,39,"E",1," 39E",20
"230","left curve on an upgrade.  Vehicle 2 was traveling south on the same undivided",2,39,"E",2," 39E",20
"231","two-lane road negotiating a sharp right curve on an upgrade.  V1 crested the",2,39,"E",3," 39E",20
"232","grade and started on the downgrade.  V2 moved to the left into the southbound",2,39,"E",4," 39E",20
"233","lane. The driver of V1 observed V2 and moved V1 to the right edge of the",2,39,"E",5," 39E",20
"234","roadway.  The front of V1 struck the front of V2.  Both vehicles came to rest in",2,39,"E",6," 39E",20
"235","the roadway.  Both vehicles were towed due to damage. The driver of V2 was",2,39,"E",7," 39E",20
"236","transported due to injuries.  It was snowing, the road was snow/ice covered and",2,39,"E",8," 39E",20
"237","it was daylight at the time of the crash.  The frontal air bags in both vehicles",2,39,"E",9," 39E",20
"238","deployed.",2,39,"E",10," 39E",20
"239","V1 traveling north on a level two lane undivided roadway negotiating a curve to",2,40,"F",1," 40F",20
"240","the right.  V1 went off the right side of the roadway and struck a 23 cm",2,40,"F",2," 40F",20
"241","diameter pole with its front.  V1 continued and struck the ground with its front",2,40,"F",3," 40F",20
"242","coming to rest facing in a northerly direction.  The weather was clear, the",2,40,"F",4," 40F",20
"243","roadway dry and it was daylight at the time of the crash.  V1 was towed due to",2,40,"F",5," 40F",20
"244","damage.  Operator of V1 was transported to a medical facility, treated and",2,40,"F",6," 40F",20
"245","released.",2,40,"F",7," 40F",20
"246","V1 was traveling east on a two lane undivided roadway negotiating a curve to the",2,41,"H",1," 41H",20
"247","left.  V1 went off the right side of the roadway and began to rotate",2,41,"H",2," 41H",20
"248","counterclockwise.  V1 continued off the roadway and struck a metal guardrail",2,41,"H",3," 41H",20
"249","with its front.  V1 continued along the metal guardrail and struck it again with",2,41,"H",4," 41H",20
"250","its front.  V1 came to rest facing east.",2,41,"H",5," 41H",20
"251","Vehicle 1 was traveling south on an undivided two-lane road negotiating a sharp",2,42,"C",1," 42C",20
"252","left curve on a downgrade.  V1 went off the right side of the road.  The front",2,42,"C",2," 42C",20
"253","of V1 went into a deep ditch.  V1 came to rest in the ditch.  V1 was towed due",2,42,"C",3," 42C",20
"254","to damage.  The driver was transported due to injuries.  The weather was clear,",2,42,"C",4," 42C",20
"255","the road was dry and it was daylight at the time of the crash.  No air bags",2,42,"C",5," 42C",20
"256","deployed.",2,42,"C",6," 42C",20
"257","Vehicle 1 was traveling east on an undivided two-lane road negotiating a right",2,43,"F",1," 43F",20
"258","curve.  The vehicle crossed into the westbound lane. The driver swerved to the",2,43,"F",2," 43F",20
"259","right and the vehicle started to rotate clockwise.  V1 went off the right side",2,43,"F",3," 43F",20
"260","of the road and continued to rotate clockwise.  The left side of the vehicle",2,43,"F",4," 43F",20
"261","struck a 26 cm diameter utility pole.  The vehicle came to rest off the right",2,43,"F",5," 43F",20
"262","side of the road.  The vehicle was towed due to damage.  The three occupants of",2,43,"F",6," 43F",20
"263","the vehicle were transported due to possible injuries and were treated and",2,43,"F",7," 43F",20
"264","released from a trauma center.  It was raining, the road was wet and it was dark",2,43,"F",8," 43F",20
"265","and the road was lighted at the time of the crash.  No air bags deployed.",2,43,"F",9," 43F",20
"266","V1 traveling south on a two lane undivided roadway on an upgrade.  V2 traveling",2,44,"H",1," 44H",20
"267","north on the same roadway on a downgrade approaching a driveway to the left.  V2",2,44,"H",2," 44H",20
"268","turns left into the driveway and is contacted on the right side by the front of",2,44,"H",3," 44H",20
"269","V1.  V2 is rotated clockwise and comes to final rest facing in a northwesterly",2,44,"H",4," 44H",20
"270","direction.  V1 comes to final rest facing south.",2,44,"H",5," 44H",20
"271","V1 traveling west on a two lane undivided roadway negotiating a curve, to the",2,45,"K",1," 45K",20
"272","left.  V1 drove off the right side of the roadway and began to rotate slightly",2,45,"K",2," 45K",20
"273","counterclockwise.  V1 continued off the roadway, into a deep ditch and rolled",2,45,"K",3," 45K",20
"274","over onto its right side coming to rest facing west.",2,45,"K",4," 45K",20
"275","V1 traveling north on a two lane undivided roadway negotiating a curve to the",2,46,"C",1," 46C",20
"276","left.  V1 drives off the right side of the roadway striking a metal guardrail",2,46,"C",2," 46C",20
"277","with its front.  V1 corrects to the left, back onto the roadway crossing both",2,46,"C",3," 46C",20
"278","lanes.  V1 corrects back to the right, goes off the right side of the roadway",2,46,"C",4," 46C",20
"279","and strikes the guardrail with its front.  V1 continues along the guardrail and",2,46,"C",5," 46C",20
"280","comes to rest facing north.  It was cloudy, the roadway dry and it was daylight",2,46,"C",6," 46C",20
"281","at the time of the crash.",2,46,"C",7," 46C",20
"282","Vehicle 1 was traveling north on an undivided three-lane road negotiating a",2,47,"K",1," 47K",20
"283","slight left curve on a downgrade and approaching an intersecting roadway to the",2,47,"K",2," 47K",20
"284","right.  Vehicle 2 was traveling west on the intersecting roadway and approaching",2,47,"K",3," 47K",20
"285","the same intersection as V1.  V2 attempted to make a left turn at the",2,47,"K",4," 47K",20
"286","intersection.  The left side of V2 was struck by  the front of V1.  V1 was",2,47,"K",5," 47K",20
"287","rotated counterclockwise and went off the west side of the roadway where it came",2,47,"K",6," 47K",20
"288","to final rest.  V2 rotated clockwise and went off the west side of the roadway",2,47,"K",7," 47K",20
"289","where it came to final rest.",2,47,"K",8," 47K",20
"290","Vehicle 1, an unmarked police car, was traveling south on an undivided two-lane",2,48,"E",1," 48E",20
"291","road with an emergency light activated and approaching an intersection",2,48,"E",2," 48E",20
"292","controlled by a stop sign for V1.  V2, a tractor-trailer, was traveling east on",2,48,"E",3," 48E",20
"293","an undivided two-lane road on a downgrade and approaching the same intersection",2,48,"E",4," 48E",20
"294","as V1.  V1 attempted to cross the intersection. The right side of V1 was struck",2,48,"E",5," 48E",20
"295","by the front of V2.  V1 was rotated clockwise and went off the south east corner",2,48,"E",6," 48E",20
"296","of the intersection.  The left side of V1 struck a short chain link fence and",2,48,"E",7," 48E",20
"297","came to final rest off the roadway.  V2 came to final rest in the roadway.",2,48,"E",8," 48E",20
"298","V1 traveling south.  V2 traveling east.  V1 is contacted in the right side by",2,49,"F",1," 49F",20
"299","the front of V2.  V1 is rotated clockwise off the southeast corner of the",2,49,"F",2," 49F",20
"300","intersection and struck a traffic control pole with its left side.",2,49,"F",3," 49F",20
"301","Vehicle 1 was traveling west on an undivided four-lane road negotiating a slight",2,50,"G",1," 50G",20
"302","right curve in the right lane.  A deer ran into the roadway from the left side",2,50,"G",2," 50G",20
"303","of the road into the path of V1.  The front of V1 struck the deer.  The vehicle",2,50,"G",3," 50G",20
"304","came to rest in the roadway.  V1 was towed due to damage.  No occupants of the",2,50,"G",4," 50G",20
"305","vehicle were transported due to injuries.  The weather was clear, the road was",2,50,"G",5," 50G",20
"306","dry, it was dark and the road was not lighted at the time of the crash.  The",2,50,"G",6," 50G",20
"307","driver air bag deployed.",2,50,"G",7," 50G",20
"308","Vehicle 1 was traveling east on an undivided two-lane road approaching an",2,51,"E",1," 51E",20
"309","intersection controlled by a stop sign and red flashing traffic signal for V1.",2,51,"E",2," 51E",20
"310","V2 was traveling south on the intersecting two-lane roadway and approaching the",2,51,"E",3," 51E",20
"311","same intersection as V1 which was controlled by a flashing amber traffic signal",2,51,"E",4," 51E",20
"312","for V2.  The driver of V1 attempted to turn left at the intersection.  V1",2,51,"E",5," 51E",20
"313","entered the intersection and the left side of V1 was contacted by the front of",2,51,"E",6," 51E",20
"314","V2. Both vehicles came to rest in the intersection.",2,51,"E",7," 51E",20
"315","V1 traveling north.  V1 drove off the left side of the roadway and struck a",2,52,"F",1," 52F",20
"316","fence with its front.  V1 continued and struck a 38 cm diameter tree with its",2,52,"F",2," 52F",20
"317","front.",2,52,"F",3," 52F",20
